SampleID,ReplicateNumber,Temp,Bacteria,Amoebae,BactCode,AmoebaCode,TempCode,Timepoint,SampleDate
DB_LA_H_19,19,25,Dead,Live,DB,LA,H,1,2020-03-09
DB_LA_H_20,20,25,Dead,Live,DB,LA,H,5,2020-04-06
DB_LA_H_21,21,25,Dead,Live,DB,LA,H,4,2020-03-30
DB_LA_H_22,22,25,Dead,Live,DB,LA,H,3,2020-03-23
DB_LA_H_23,23,25,Dead,Live,DB,LA,H,3,2020-03-23
DB_LA_H_24,24,25,Dead,Live,DB,LA,H,5,2020-04-06
DB_LA_H_25,25,25,Dead,Live,DB,LA,H,1,2020-03-09
DB_LA_H_26,26,25,Dead,Live,DB,LA,H,4,2020-03-30
DB_LA_H_27,27,25,Dead,Live,DB,LA,H,1,2020-03-09
DB_LA_H_28,28,25,Dead,Live,DB,LA,H,4,2020-03-30
DB_LA_H_29,29,25,Dead,Live,DB,LA,H,2,2020-03-16
DB_LA_H_30,30,25,Dead,Live,DB,LA,H,3,2020-03-23
DB_LA_H_31,31,25,Dead,Live,DB,LA,H,0,2020-03-02
DB_LA_H_32,32,25,Dead,Live,DB,LA,H,5,2020-04-06
DB_LA_H_33,33,25,Dead,Live,DB,LA,H,5,2020-04-06
DB_LA_H_34,34,25,Dead,Live,DB,LA,H,4,2020-03-30
DB_LA_H_35,35,25,Dead,Live,DB,LA,H,4,2020-03-30
DB_LA_H_36,36,25,Dead,Live,DB,LA,H,1,2020-03-09
DB_DA_H_01,1,25,Dead,Dead,DB,DA,H,3,2020-03-23
DB_DA_H_02,2,25,Dead,Dead,DB,DA,H,4,2020-03-30
DB_DA_H_03,3,25,Dead,Dead,DB,DA,H,0,2020-03-02
DB_DA_H_04,4,25,Dead,Dead,DB,DA,H,2,2020-03-16
DB_DA_H_05,5,25,Dead,Dead,DB,DA,H,3,2020-03-23
DB_DA_H_06,6,25,Dead,Dead,DB,DA,H,1,2020-03-09
DB_DA_H_07,7,25,Dead,Dead,DB,DA,H,2,2020-03-16
DB_DA_H_08,8,25,Dead,Dead,DB,DA,H,3,2020-03-23
DB_DA_H_09,9,25,Dead,Dead,DB,DA,H,2,2020-03-16
DB_DA_H_10,10,25,Dead,Dead,DB,DA,H,0,2020-03-02
DB_DA_H_11,11,25,Dead,Dead,DB,DA,H,2,2020-03-16
DB_DA_H_12,12,25,Dead,Dead,DB,DA,H,2,2020-03-16
DB_DA_H_13,13,25,Dead,Dead,DB,DA,H,1,2020-03-09
DB_DA_H_14,14,25,Dead,Dead,DB,DA,H,0,2020-03-02
DB_DA_H_15,15,25,Dead,Dead,DB,DA,H,0,2020-03-02
DB_DA_H_16,16,25,Dead,Dead,DB,DA,H,5,2020-04-06
DB_DA_H_17,17,25,Dead,Dead,DB,DA,H,5,2020-04-06
DB_DA_H_18,18,25,Dead,Dead,DB,DA,H,0,2020-03-02
DB_DA_H_19,19,25,Dead,Dead,DB,DA,H,1,2020-03-09
DB_DA_H_20,20,25,Dead,Dead,DB,DA,H,5,2020-04-06
DB_DA_H_21,21,25,Dead,Dead,DB,DA,H,4,2020-03-30
DB_DA_H_22,22,25,Dead,Dead,DB,DA,H,3,2020-03-23
DB_DA_H_23,23,25,Dead,Dead,DB,DA,H,3,2020-03-23
DB_DA_H_24,24,25,Dead,Dead,DB,DA,H,5,2020-04-06
DB_DA_H_25,25,25,Dead,Dead,DB,DA,H,1,2020-03-09
DB_DA_H_26,26,25,Dead,Dead,DB,DA,H,4,2020-03-30
DB_DA_H_27,27,25,Dead,Dead,DB,DA,H,1,2020-03-09
DB_DA_H_28,28,25,Dead,Dead,DB,DA,H,4,2020-03-30
DB_DA_H_29,29,25,Dead,Dead,DB,DA,H,2,2020-03-16
DB_DA_H_30,30,25,Dead,Dead,DB,DA,H,3,2020-03-23
DB_DA_H_31,31,25,Dead,Dead,DB,DA,H,0,2020-03-02
DB_DA_H_32,32,25,Dead,Dead,DB,DA,H,5,2020-04-06
DB_DA_H_33,33,25,Dead,Dead,DB,DA,H,5,2020-04-06
DB_DA_H_34,34,25,Dead,Dead,DB,DA,H,4,2020-03-30
