sampleid,replnumber,biotreatment,temp,group,day,SampleDate
SP-89,17,Unfiltered,15,d,60,yyyy-mm-dd
SP-90,18,Unfiltered,15,d,60,yyyy-mm-dd
SP-112,16,Blank,20,e,0,yyyy-mm-dd
SP-113,17,Blank,20,e,0,yyyy-mm-dd
SP-108,12,Blank,20,e,0,yyyy-mm-dd
SP-109,13,Blank,20,e,0,yyyy-mm-dd
SP-102,6,Blank,20,e,0,yyyy-mm-dd
SP-99,3,Blank,20,e,0,yyyy-mm-dd
SP-117,21,Blank,20,e,15,yyyy-mm-dd
SP-98,2,Blank,20,e,15,yyyy-mm-dd
SP-106,10,Blank,20,e,15,yyyy-mm-dd
SP-118,22,Blank,20,e,15,yyyy-mm-dd
SP-107,11,Blank,20,e,15,yyyy-mm-dd
SP-103,7,Blank,20,e,15,yyyy-mm-dd
SP-105,9,Blank,20,e,30,yyyy-mm-dd
SP-101,5,Blank,20,e,30,yyyy-mm-dd
SP-111,15,Blank,20,e,30,yyyy-mm-dd
SP-100,4,Blank,20,e,30,yyyy-mm-dd
SP-116,20,Blank,20,e,30,yyyy-mm-dd
SP-110,14,Blank,20,e,30,yyyy-mm-dd
SP-115,19,Blank,20,e,60,yyyy-mm-dd
SP-120,24,Blank,20,e,60,yyyy-mm-dd
SP-97,1,Blank,20,e,60,yyyy-mm-dd
SP-104,8,Blank,20,e,60,yyyy-mm-dd
SP-119,23,Blank,20,e,60,yyyy-mm-dd
SP-114,18,Blank,20,e,60,yyyy-mm-dd
SP-144,24,Bact,20,f,0,yyyy-mm-dd
SP-141,21,Bact,20,f,0,yyyy-mm-dd
SP-136,16,Bact,20,f,0,yyyy-mm-dd
SP-137,17,Bact,20,f,0,yyyy-mm-dd
SP-121,1,Bact,20,f,0,yyyy-mm-dd
SP-130,10,Bact,20,f,0,yyyy-mm-dd
SP-131,11,Bact,20,f,15,yyyy-mm-dd
SP-142,22,Bact,20,f,15,yyyy-mm-dd
SP-129,9,Bact,20,f,15,yyyy-mm-dd
SP-138,18,Bact,20,f,15,yyyy-mm-dd
SP-135,15,Bact,20,f,15,yyyy-mm-dd
SP-140,20,Bact,20,f,15,yyyy-mm-dd
SP-133,13,Bact,20,f,30,yyyy-mm-dd
SP-128,8,Bact,20,f,30,yyyy-mm-dd
SP-125,5,Bact,20,f,30,yyyy-mm-dd
SP-126,6,Bact,20,f,30,yyyy-mm-dd
SP-139,19,Bact,20,f,30,yyyy-mm-dd
SP-143,23,Bact,20,f,30,yyyy-mm-dd
SP-124,4,Bact,20,f,60,yyyy-mm-dd
SP-132,12,Bact,20,f,60,yyyy-mm-dd
SP-127,7,Bact,20,f,60,yyyy-mm-dd
SP-134,14,Bact,20,f,60,yyyy-mm-dd
SP-122,2,Bact,20,f,60,yyyy-mm-dd
SP-123,3,Bact,20,f,60,yyyy-mm-dd
SP-163,19,Bact+Am,20,g,0,yyyy-mm-dd
SP-149,5,Bact+Am,20,g,0,yyyy-mm-dd
SP-151,7,Bact+Am,20,g,0,yyyy-mm-dd
SP-167,23,Bact+Am,20,g,0,yyyy-mm-dd
SP-147,3,Bact+Am,20,g,0,yyyy-mm-dd
SP-152,8,Bact+Am,20,g,0,yyyy-mm-dd
SP-156,12,Bact+Am,20,g,15,yyyy-mm-dd
SP-148,4,Bact+Am,20,g,15,yyyy-mm-dd
SP-164,20,Bact+Am,20,g,15,yyyy-mm-dd
SP-153,9,Bact+Am,20,g,15,yyyy-mm-dd
SP-145,1,Bact+Am,20,g,15,yyyy-mm-dd
SP-161,17,Bact+Am,20,g,15,yyyy-mm-dd
SP-166,22,Bact+Am,20,g,30,yyyy-mm-dd
SP-155,11,Bact+Am,20,g,30,yyyy-mm-dd
SP-160,16,Bact+Am,20,g,30,yyyy-mm-dd
SP-154,10,Bact+Am,20,g,30,yyyy-mm-dd
SP-157,13,Bact+Am,20,g,30,yyyy-mm-dd
SP-168,24,Bact+Am,20,g,30,yyyy-mm-dd
SP-159,15,Bact+Am,20,g,60,yyyy-mm-dd
SP-150,6,Bact+Am,20,g,60,yyyy-mm-dd
SP-158,14,Bact+Am,20,g,60,yyyy-mm-dd
SP-165,21,Bact+Am,20,g,60,yyyy-mm-dd
SP-146,2,Bact+Am,20,g,60,yyyy-mm-dd
SP-162,18,Bact+Am,20,g,60,yyyy-mm-dd
SP-178,10,Unfiltered,20,h,0,yyyy-mm-dd
SP-177,9,Unfiltered,20,h,0,yyyy-mm-dd
SP-172,4,Unfiltered,20,h,0,yyyy-mm-dd
SP-171,3,Unfiltered,20,h,0,yyyy-mm-dd
SP-173,5,Unfiltered,20,h,0,yyyy-mm-dd
SP-191,23,Unfiltered,20,h,0,yyyy-mm-dd
SP-186,18,Unfiltered,20,h,15,yyyy-mm-dd
SP-174,6,Unfiltered,20,h,15,yyyy-mm-dd
SP-182,14,Unfiltered,20,h,15,yyyy-mm-dd
SP-188,20,Unfiltered,20,h,15,yyyy-mm-dd
SP-189,21,Unfiltered,20,h,15,yyyy-mm-dd
SP-179,11,Unfiltered,20,h,15,yyyy-mm-dd
SP-176,8,Unfiltered,20,h,30,yyyy-mm-dd
SP-183,15,Unfiltered,20,h,30,yyyy-mm-dd
SP-187,19,Unfiltered,20,h,30,yyyy-mm-dd
SP-185,17,Unfiltered,20,h,30,yyyy-mm-dd
SP-175,7,Unfiltered,20,h,30,yyyy-mm-dd
SP-184,16,Unfiltered,20,h,30,yyyy-mm-dd
SP-180,12,Unfiltered,20,h,60,yyyy-mm-dd
SP-190,22,Unfiltered,20,h,60,yyyy-mm-dd
SP-181,13,Unfiltered,20,h,60,yyyy-mm-dd
SP-192,24,Unfiltered,20,h,60,yyyy-mm-dd
SP-170,2,Unfiltered,20,h,60,yyyy-mm-dd
SP-169,1,Unfiltered,20,h,60,yyyy-mm-dd
SP-199,7,Blank,25,i,0,yyyy-mm-dd
SP-212,20,Blank,25,i,0,yyyy-mm-dd
SP-194,2,Blank,25,i,0,yyyy-mm-dd
SP-202,10,Blank,25,i,0,yyyy-mm-dd
SP-208,16,Blank,25,i,0,yyyy-mm-dd
SP-195,3,Blank,25,i,0,yyyy-mm-dd
SP-209,17,Blank,25,i,15,yyyy-mm-dd
SP-201,9,Blank,25,i,15,yyyy-mm-dd
SP-200,8,Blank,25,i,15,yyyy-mm-dd
SP-198,6,Blank,25,i,15,yyyy-mm-dd
SP-215,23,Blank,25,i,15,yyyy-mm-dd
SP-210,18,Blank,25,i,15,yyyy-mm-dd
